,ENCFF488ZHV,ENCFF731FLQ,ENCFF421TJX,ENCFF003XKT,ENCFF928NYA,ENCFF387IEG,ENCFF468UWE,ENCFF379SQG,ENCFF488DCO,ENCFF366SYN,ENCFF713BHS,ENCFF384BFE,ENCFF611MXW,ENCFF973GEQ,ENCFF051DBP,ENCFF842TMB,ENCFF182FGP,ENCFF296ZTM,ENCFF546LDW,ENCFF307SLN,ENCFF352KRP,ENCFF136UBW,ENCFF171FQU,ENCFF717PSW,ENCFF855AWK
ETV5,1368.186610221947,1676.9788825081937,1512.6730749199776,1291.9538912980795,1561.6433545371983,700.240510104453,702.5000000000001,841.6803425050406,791.4740250510587,1192.2426742523062,1221.074204953363,776.2992396148568,812.8275495865136,964.2593580717046,1120.2147012874157,968.9735649133614,1113.978165515795,2156.967843671681,2292.156289949296,1112.9660605888394,878.8230763634203,1340.9418078605786,1091.42444094528,1703.037715058956,1825.9056297596128
ETV4,1283.5019457594667,1014.0268649312756,2672.9112248401084,3418.6633790284804,3290.469939243829,917.1500283859672,955.0000000000002,1050.0170609468823,380.9431055152292,1794.541434561114,1521.0443701221463,1555.351313412745,1561.6434199336732,887.4599401721883,955.1589119672892,2761.366725761682,2750.1335961171185,1822.7608488822475,1821.46517023669,529.4236017600188,666.8262816266304,3914.7927364036,2761.709532799888,4012.025178921661,4033.4461032862528
ELF1,3673.197321060082,4410.590800743095,2891.0852260304896,2738.76526956682,3185.347150576686,855.849512349887,820.0000000000002,806.6797738068112,1353.642491442465,2920.376809599885,3027.416286513211,2396.34215632884,2548.3894942459783,2377.937531999838,2703.126779193546,1181.066491139033,1213.4405017225622,6462.702132369903,6964.039310724652,962.374458310434,817.1512815308996,1583.736919250617,1610.9147686844203,2240.9510008391258,2212.110950697503
ETV3,1628.856593020519,1605.4005155718685,1430.9976796025528,1297.8532241350574,1649.0345884894018,773.3295869167024,782.5000000000002,956.6822110849372,1109.5430257725122,918.8916984198474,960.2305830674644,1306.2198198484027,1379.2705224781553,930.1262834496972,849.6314401068804,478.2487552147492,387.9031112063929,1857.61679312409,2090.744275932739,1334.1474764352472,1017.584614736592,879.8538440281205,632.2939417624967,967.3934586165108,927.8068656851098
ETV3L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETV1,1765.1459748898233,1821.8398632126616,1589.8731061104202,1001.4117490769364,1129.7533432661646,311.21800449086805,327.50000000000006,353.3390744773636,739.6953505150082,1439.3396015584838,1604.1882745982766,1263.550890011416,1363.5695445515212,1598.565661464006,1775.0261933443107,440.8205917631601,502.2847978441754,1863.7678421079445,2156.422106590312,569.4244961152202,420.1391022965474,852.0103679512813,652.0840494858925,1050.3128979264973,1245.4550290600612
ETS2,1292.7643309350503,1181.043054449368,1387.3628793644766,1983.6506664336955,1879.5447997836195,1037.3933483028934,677.5000000000001,918.3482548916384,456.7618789430175,1173.7104047043429,991.2057631664148,1650.324092727329,1503.670578358409,756.6164874544938,833.3964444360483,611.3266697092881,512.2310314648521,1556.2153929152144,1440.5337524227668,517.6586328320184,512.6467945453286,1299.7334632668565,1276.461948159031,1058.8174558044448,1144.9045313010838
ETS1,34.40314493788261,49.42315812270083,96.22032873011692,150.4329873429271,111.45548677962162,0.0,0.0,0.0,0.0,396.89943948554753,451.585520389962,22.02267346425126,28.98642078763198,287.2867114018943,446.462380947883,170.50607794612796,164.11285474116622,811.9384658688075,972.0318937320798,2.3529937856000838,0.0,12.251129473809272,19.790107723395828,491.1382174514592,637.5815653353341
ERG,0.0,0.0,2.237682063491091,2.9496664184887664,1.2665396224957004,2.3577121552338487,2.5000000000000004,1.666693747534734,0.0,0.0,0.0,0.0,2.415535065635998,0.0,0.0,0.0,0.0,2.0503496612848675,4.378522043838197,0.0,0.0,0.0,0.0,0.0,0.0
ERF,366.5258133766724,323.8068980452813,2140.3428937292288,3471.7573745612785,3626.10293920519,3798.27428208173,2872.5000000000005,3640.0591446158583,1048.518159355024,1493.39205440671,1380.840923358476,1960.017938318362,1866.0008382038088,597.3288058851267,633.1648311624523,1925.47107534286,1869.8919206872272,746.3272767076918,720.2668762113834,1141.2019860160403,1408.8150632053953,1827.6457696837288,1821.6794159385856,2168.6622588765736,2337.799072896225
ELK4,3906.080148331903,4076.55842170691,2667.3170196813808,2452.6476269734094,2549.5442600838446,1030.320211837192,1215.0000000000002,1431.6899291323364,4027.641183554219,949.7788143331196,1129.7789372932984,3059.775194439409,3465.08505165484,2412.070606621845,1934.6703174408265,1039.6712069885853,1089.112581464103,2314.8447675906154,1950.6315705299169,5113.055496108981,3064.317305740873,1171.653473313396,1063.7182901325257,1326.711028959786,1227.1731203766108
ELK3,459.1496651325102,409.0192396361448,446.4175716664727,558.9617863036212,557.2774338981081,106.0970469855232,70.00000000000001,108.3350935897577,105.40658744838863,177.60091650131506,197.26298905121084,367.50336343469286,417.8875663550277,173.5097959952035,159.64412409651575,116.44317518272156,208.87090603421157,416.2209812408281,313.0643261344311,91.76675763840323,79.01698712916718,271.7523265099512,224.61772266054265,440.1108701837752,397.6315138650471
ELK1,1827.3362753544573,2028.0537298625516,3496.37822420483,3788.846514548821,4263.172369320528,945.4425742487732,782.5000000000002,875.0142174557353,580.6608501542813,2064.803698802245,1873.1832596681097,1558.1041475957763,1524.202626416315,679.8170695549776,765.7506291409145,4229.3824700295645,3993.412798701711,2241.0321797843603,1889.332261916182,1120.0250419456395,751.6249995213464,3287.75765515318,2655.83245647972,8045.311752538189,7833.797870858513
ELF5,0.0,0.0,0.0,1.4748332092443832,1.2665396224957004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1261394694868367,0.0
ELF4,2548.4791211677657,2384.241317712361,3887.972585315771,4772.560265114825,5094.022361677707,2176.1683192808423,1660.0000000000005,2796.712108363284,1067.0105431178993,2486.4128310184105,2249.776238765876,3281.3783461734374,3031.4965073731782,1837.4971838180568,2083.4911110901207,2782.160149901454,2491.5315219795234,4767.062962487317,4396.03613201355,1632.977687206458,1670.9201912436083,4754.551974881072,3413.7935822857803,7188.477546334995,6622.6214205799215
ELF2,5177.673313151333,6026.216797305867,2566.6213268242814,2592.756781851626,2731.925965723225,1579.6671440066789,1772.5000000000005,2350.0381840239747,4654.532993115688,3924.208076781231,3912.65432828848,3757.618659837871,3831.038614098694,3020.777104047641,3081.9433448462955,4815.757030771127,4734.407203442128,5125.8741532121685,5302.390195088056,3353.016144480119,2599.851600908452,2202.975827199522,2146.237182602277,3935.484158020135,3974.029900065039
ETV2,3.9695936466787622,3.40849366363454,42.515959206330734,60.468161579019714,65.86006036977642,25.93483370757233,30.000000000000007,18.333631222882072,1.84923837628752,10.810490569645264,6.521090547147466,9.634919640609924,22.947583123541985,17.06653731100362,5.411665223610704,41.58684827954341,54.70428491372207,6.1510489838546025,6.567783065757295,11.764968928000416,7.708974354065091,47.89077885216352,47.49625853614999,31.89209204230255,20.567147268881744
GABPA,4313.625096057589,4901.413888306469,2144.818257856211,2639.951444547446,2557.143497818819,360.7299597507789,440.0000000000001,420.0068243787529,1570.0033814681046,2426.18295498753,2530.1831322932167,3321.294441827393,3538.7588711567378,1706.6537311003622,1761.497030285284,769.356693171553,646.505185343988,3899.765055763818,4312.844213180624,781.1939368192277,724.6435892821186,2211.8857395441105,2500.480110851063,1511.6851628051409,1629.3751114125205
